policy_id,policyholder_name,property_address,zone_id,coastal_zone_flag,construction_type,year_built,coverage_type,total_insured_value,policy_start_date,annual_premium
GC-000549,Ashley Morris,"77749 Mark Cape, Marsh Point, Belmara County",Z2,Y,Masonry Veneer,1987,Homeowners,289100.0,2022-06-18,1620.06
GC-000550,Tiffany Nguyen,"04501 Davis Glens, Cape Verrin, Belmara County",Z3,Y,Frame,1999,Homeowners,342700.0,2023-12-09,2009.49
GC-000551,Vincent Glenn,"32664 David Overpass, Port Alden, Belmara County",Z1,Y,Frame,1982,Commercial,2440500.0,2022-09-27,19548.02
GC-000552,Nancy Dorsey,"1583 Griffin Loaf, Port Alden, Belmara County",Z1,Y,Frame,1990,Homeowners,250500.0,2023-08-09,1520.3
GC-000553,Justin Henderson,"9266 Billy Junctions Suite 327, Marsh Point, Belmara County",Z2,Y,Masonry,2004,Homeowners,481900.0,2026-02-26,2288.88
GC-000554,Maria Miller,"1742 Gabrielle Hills Apt. 864, Marsh Point, Belmara County",Z2,Y,Masonry Veneer,1980,Homeowners,438800.0,2025-02-14,2522.94
GC-000555,Kristen Lowery,"661 Guerrero Port, Hollow Bay, Belmara County",Z5,N,Masonry,2020,Homeowners,335800.0,2023-03-18,1020.83
GC-000556,Heather Richards,"72260 Robert Squares, Ridgeview, Belmara County",Z4,N,Masonry Veneer,1987,Homeowners,531100.0,2023-06-14,1920.12
GC-000557,Kevin Gibson,"452 Jacob Summit Suite 168, Millbrook, Belmara County",Z6,N,Masonry,2002,Homeowners,321500.0,2025-05-19,993.0
GC-000558,James Smith,"6974 Vazquez Spurs Suite 412, Hollow Bay, Belmara County",Z5,N,Masonry Veneer,2023,Homeowners,314200.0,2025-01-08,1055.71
GC-000559,Connor Cabrera,"37236 Christopher Trail, Ridgeview, Belmara County",Z4,N,Frame,1990,Homeowners,184700.0,2023-08-13,723.2
GC-000560,John Johnson,"77707 James Port, Hollow Bay, Belmara County",Z5,N,Masonry Veneer,2014,Homeowners,404900.0,2025-10-20,1360.46
GC-000561,Jenna Cook,"667 Johnson Locks, Ridgeview, Belmara County",Z4,N,Frame,2007,Homeowners,434900.0,2022-01-19,1600.43
GC-000562,Mr. Logan Gregory,"08069 Tran Grove Suite 717, Cape Verrin, Belmara County",Z3,Y,Masonry,2011,Homeowners,382900.0,2023-09-17,1804.22
GC-000563,Maria West,"24375 Hall Forges Suite 972, Marsh Point, Belmara County",Z2,Y,Frame,1969,Homeowners,378700.0,2025-12-19,2479.8
GC-000564,Miranda Myers,"572 Justin Summit Apt. 722, Port Alden, Belmara County",Z1,Y,Masonry Veneer,1985,Commercial,2385700.0,2024-09-25,17256.39
GC-000565,Larry Garcia,"4338 Yvette Knolls Suite 522, Hollow Bay, Belmara County",Z5,N,Masonry,1993,Homeowners,228000.0,2022-06-18,729.16
GC-000566,Stephanie Johnson,"6193 Anna Oval, Port Alden, Belmara County",Z1,Y,Masonry Veneer,1994,Homeowners,146200.0,2022-11-21,797.96
GC-000567,Gerald Kelly,"428 Jasmine Mill, Hollow Bay, Belmara County",Z5,N,Frame,2001,Homeowners,154600.0,2022-03-31,580.31
GC-000568,Tonya Campos,"918 William Expressway, Millbrook, Belmara County",Z6,N,Masonry Veneer,1992,Homeowners,369800.0,2025-11-27,1312.11
GC-000569,Shelby Bartlett,"478 Oconnor Courts, Millbrook, Belmara County",Z6,N,Masonry Veneer,2009,Homeowners,437000.0,2023-05-09,1468.32
GC-000570,Jack Fuentes,"76037 Mitchell Extension, Marsh Point, Belmara County",Z2,Y,Frame,1969,Homeowners,254600.0,2025-09-19,1667.17
GC-000571,Jaime Fischer,"328 Cobb Dam Suite 667, Hollow Bay, Belmara County",Z5,N,Frame,1984,Homeowners,450300.0,2025-11-27,1802.93
GC-000572,Kelli Fleming,"2081 Matthew Locks, Ridgeview, Belmara County",Z4,N,Masonry,2014,Homeowners,324100.0,2022-06-21,985.26
GC-000573,Mrs. Amy Malone,"084 Morales Springs, Port Alden, Belmara County",Z1,Y,Masonry,2003,Homeowners,461100.0,2025-08-16,2198.78
GC-000574,Shelley Griffith,"0489 Isabella Mission Apt. 899, Marsh Point, Belmara County",Z2,Y,Masonry,1994,Homeowners,116800.0,2025-05-06,576.78
GC-000575,Melissa Barron,"41085 Hardy Streets Apt. 884, Cape Verrin, Belmara County",Z3,Y,Masonry,1985,Commercial,2136700.0,2023-11-04,13983.37
GC-000576,Jorge Collins,"200 Allen Trail Suite 681, Port Alden, Belmara County",Z1,Y,Masonry,2009,Homeowners,461300.0,2022-04-16,2173.65
GC-000577,Sarah Green,"01749 Shawn Freeway Apt. 544, Millbrook, Belmara County",Z6,N,Masonry,2002,Commercial,812800.0,2024-04-20,3216.51
GC-000578,Robin Armstrong,"683 Mark Prairie, Marsh Point, Belmara County",Z2,Y,Frame,2010,Homeowners,572500.0,2022-02-10,3265.54
GC-000579,Richard Gibson,"661 Bryan Curve, Cape Verrin, Belmara County",Z3,Y,Masonry,1981,Homeowners,325700.0,2024-02-10,1688.17
GC-000580,Jeremy Wood,"886 Silva Roads Suite 776, Port Alden, Belmara County",Z1,Y,Frame,1952,Homeowners,119200.0,2021-06-15,826.78
GC-000581,Brianna Martinez,"88137 Johnson Estate Suite 196, Cape Verrin, Belmara County",Z3,Y,Masonry,1968,Homeowners,247400.0,2023-01-12,1342.94
GC-000582,Jacob Roberts,"54544 Johnson Divide, Ridgeview, Belmara County",Z4,N,Frame,1993,Homeowners,313200.0,2022-10-22,1212.51
GC-000583,Kevin Williams,"3270 Amy Cliff Apt. 679, Port Alden, Belmara County",Z1,Y,Frame,1991,Commercial,690400.0,2024-03-13,5348.35
GC-000584,Jesse Morgan,"9228 Gill Shores Suite 251, Ridgeview, Belmara County",Z4,N,Masonry,2006,Homeowners,282300.0,2021-06-04,858.19
GC-000585,Mary Ortiz,"5807 Brewer Way, Ridgeview, Belmara County",Z4,N,Frame,2004,Homeowners,291100.0,2022-08-30,1079.82
GC-000586,Alexander Mccoy,"181 Stephanie Plains Apt. 983, Hollow Bay, Belmara County",Z5,N,Frame,1987,Homeowners,125100.0,2025-12-14,495.36
GC-000587,Kathryn Smith,"43397 Lindsay Rest, Hollow Bay, Belmara County",Z5,N,Superior (Reinforced Concrete),1996,Homeowners,206200.0,2021-12-30,548.99
GC-000588,Kevin Henry,"6260 Reyes Course, Port Alden, Belmara County",Z1,Y,Masonry,1985,Homeowners,204100.0,2026-01-03,1042.5
GC-000589,Brett Jackson,"41246 Brian Islands, Hollow Bay, Belmara County",Z5,N,Superior (Reinforced Concrete),1974,Homeowners,232300.0,2021-04-20,670.81
GC-000590,Micheal Evans,"2654 David Crest, Ridgeview, Belmara County",Z4,N,Frame,1978,Homeowners,163400.0,2021-02-05,668.66
GC-000591,David Harper,"8861 Brown Mountain, Port Alden, Belmara County",Z1,Y,Masonry Veneer,1980,Commercial,624000.0,2026-04-03,4596.83
GC-000592,Ana Johnson,"48913 Kevin Lodge, Marsh Point, Belmara County",Z2,Y,Frame,1997,Homeowners,403100.0,2024-04-28,2382.06
GC-000593,Ryan Mason,"8238 Ali Point, Port Alden, Belmara County",Z1,Y,Masonry,1967,Homeowners,284200.0,2024-02-10,1548.06
GC-000594,Aaron Marshall,"200 Nelson Glen Suite 539, Port Alden, Belmara County",Z1,Y,Masonry Veneer,1993,Homeowners,277700.0,2025-01-02,1521.47
GC-000595,Diana Martin,"1612 Johns Fords, Port Alden, Belmara County",Z1,Y,Frame,2019,Homeowners,246500.0,2024-10-26,1406.04
GC-000596,Tina Flores,"474 Eileen Islands Suite 379, Millbrook, Belmara County",Z6,N,Masonry,2002,Homeowners,182300.0,2021-02-09,563.06
GC-000597,Thomas Anderson,"700 Robert Square, Marsh Point, Belmara County",Z2,Y,Frame,2018,Homeowners,273400.0,2024-12-22,1559.47
GC-000598,Pamela Medina,"071 Stanton Lane, Ridgeview, Belmara County",Z4,N,Masonry,2003,Homeowners,252700.0,2026-01-05,777.43
GC-000599,Heather Thompson,"75370 Julia Trace, Cape Verrin, Belmara County",Z3,Y,Masonry Veneer,1983,Commercial,909000.0,2024-06-06,6623.56
GC-000600,Thomas Howard,"433 Coffey Camp, Cape Verrin, Belmara County",Z3,Y,Masonry,2007,Homeowners,286700.0,2025-04-24,1350.93
GC-000601,Tanner Mann,"36149 Jackson Fields, Millbrook, Belmara County",Z6,N,Masonry,1989,Commercial,855400.0,2021-02-22,3558.34
GC-000602,Krystal Fleming,"92124 Nicole Stream, Marsh Point, Belmara County",Z2,Y,Frame,1995,Homeowners,235400.0,2023-10-18,1401.8
GC-000603,Cheryl Gregory,"870 Davidson Run Apt. 566, Cape Verrin, Belmara County",Z3,Y,Masonry,2010,Homeowners,222800.0,2023-06-25,1049.83
GC-000604,Michael Owens,"030 Hull Place Suite 506, Marsh Point, Belmara County",Z2,Y,Frame,2009,Homeowners,306100.0,2025-09-22,1745.99
GC-000605,Brad Armstrong,"361 James Isle, Millbrook, Belmara County",Z6,N,Frame,2002,Homeowners,140000.0,2022-01-18,523.44
GC-000606,Mark Davis,"0954 Daniel Garden Suite 058, Marsh Point, Belmara County",Z2,Y,Frame,1993,Homeowners,330200.0,2022-12-18,1981.4
GC-000607,Terri Parsons,"79110 Nicholas Vista Apt. 207, Marsh Point, Belmara County",Z2,Y,Frame,1963,Homeowners,313300.0,2024-09-13,2094.44
GC-000608,Leslie Reynolds,"080 Horn Locks, Millbrook, Belmara County",Z6,N,Frame,1985,Homeowners,213100.0,2022-11-30,850.08
GC-000609,Paul Hall,"6769 Matthew Spring, Cape Verrin, Belmara County",Z3,Y,Frame,2001,Homeowners,429100.0,2023-01-28,2496.54
GC-000610,Jordan Murphy,"10919 Rebecca Crossroad, Cape Verrin, Belmara County",Z3,Y,Masonry,2009,Homeowners,242000.0,2022-08-29,1140.3
GC-000611,Dawn Fisher,"32002 Silva Passage Suite 498, Port Alden, Belmara County",Z1,Y,Frame,2024,Commercial,1242800.0,2022-12-15,9082.69
GC-000612,Brittany Parker,"5089 Brian Parkways Apt. 653, Hollow Bay, Belmara County",Z5,N,Frame,1978,Commercial,1772200.0,2022-10-11,9291.79
GC-000613,Margaret Harris,"3779 Christian Port, Hollow Bay, Belmara County",Z5,N,Frame,1999,Homeowners,236100.0,2025-12-12,893.18
GC-000614,Lisa Barnes,"70730 Heather Mountain, Cape Verrin, Belmara County",Z3,Y,Masonry Veneer,1992,Homeowners,345900.0,2023-12-02,1902.33
GC-000615,Cynthia Navarro,"636 Margaret Avenue Suite 015, Marsh Point, Belmara County",Z2,Y,Masonry Veneer,1993,Homeowners,233900.0,2023-01-03,1281.5
GC-000616,Brian Roberts,"950 James Haven, Hollow Bay, Belmara County",Z5,N,Masonry Veneer,1997,Homeowners,368000.0,2022-05-08,1280.99
GC-000617,Stephen Higgins,"323 Gregory Greens Apt. 026, Hollow Bay, Belmara County",Z5,N,Masonry,1989,Homeowners,385700.0,2023-03-28,1252.26
GC-000618,Stacey Morgan,"7355 Shelley Union, Marsh Point, Belmara County",Z2,Y,Frame,1990,Homeowners,238400.0,2023-10-27,1446.86
GC-000619,Dr. Sherry Jones MD,"38655 Rowland Gardens, Ridgeview, Belmara County",Z4,N,Frame,2004,Homeowners,352900.0,2024-08-15,1309.06
GC-000620,Pamela Matthews,"53042 Clark Common Suite 912, Marsh Point, Belmara County",Z2,Y,Masonry,1996,Homeowners,639300.0,2022-12-01,3132.88
GC-000621,Nicole Newman,"8725 Fox Orchard Suite 749, Millbrook, Belmara County",Z6,N,Frame,1990,Homeowners,256200.0,2023-06-16,1003.16
GC-000622,Thomas Silva,"33736 Kevin Lane, Port Alden, Belmara County",Z1,Y,Superior (Reinforced Concrete),1993,Commercial,1106500.0,2022-01-05,5917.97
GC-000623,Taylor Brooks,"14785 Brandy Mountain, Millbrook, Belmara County",Z6,N,Frame,1983,Commercial,1301500.0,2022-06-21,6701.14
GC-000624,Gabrielle Hayes,"5754 Johnson Mills Apt. 415, Millbrook, Belmara County",Z6,N,Frame,2003,Homeowners,382500.0,2024-05-19,1424.49
GC-000625,Elizabeth Shaw,"3111 Johnson Flats, Millbrook, Belmara County",Z6,N,Masonry Veneer,1985,Homeowners,587700.0,2021-12-17,2140.54
GC-000626,Michael Wright,"92840 Campbell Key Suite 690, Marsh Point, Belmara County",Z2,Y,Masonry Veneer,1969,Homeowners,180500.0,2024-06-23,1079.17
GC-000627,Jose Juarez,"3337 Zachary Turnpike, Port Alden, Belmara County",Z1,Y,Frame,1972,Commercial,351200.0,2025-10-16,2915.72
GC-000628,Julie Olsen,"53663 Cole Point Apt. 529, Port Alden, Belmara County",Z1,Y,Masonry,1994,Commercial,701200.0,2023-05-28,4436.52
GC-000629,Elizabeth Rojas,"553 Simmons Terrace Suite 845, Cape Verrin, Belmara County",Z3,Y,Frame,2004,Homeowners,294900.0,2024-08-19,1695.57
GC-000630,Latoya Johnson,"59999 Baird Ford, Port Alden, Belmara County",Z1,Y,Masonry,2022,Homeowners,309400.0,2021-05-18,1457.89
GC-000631,Amy Hughes,"59741 Damon Plaza Apt. 097, Marsh Point, Belmara County",Z2,Y,Frame,1996,Homeowners,348900.0,2024-06-14,2069.73
GC-000632,Cristian Pruitt,"3348 Shawn Land Apt. 256, Port Alden, Belmara County",Z1,Y,Frame,1991,Homeowners,198500.0,2025-05-14,1200.18
GC-000633,William Anderson,"1632 Kyle Viaduct Suite 299, Cape Verrin, Belmara County",Z3,Y,Masonry,1989,Homeowners,258000.0,2023-04-24,1298.36
GC-000634,Laurie Shaw,"3027 Makayla Rapids Apt. 859, Millbrook, Belmara County",Z6,N,Masonry Veneer,2005,Homeowners,550200.0,2023-01-02,1856.07
GC-000635,Julia Johnston,"7546 Robert Fall, Millbrook, Belmara County",Z6,N,Frame,1999,Homeowners,340900.0,2024-06-24,1289.64
GC-000636,Morgan Ellis,"916 John Ways, Port Alden, Belmara County",Z1,Y,Frame,1960,Commercial,1173600.0,2022-01-20,10155.12
GC-000637,Stephen Medina,"376 Wanda Club, Marsh Point, Belmara County",Z2,Y,Masonry,2007,Commercial,820200.0,2022-11-09,4951.75
GC-000638,Kathy Chan,"2438 Steven Cliffs Suite 656, Millbrook, Belmara County",Z6,N,Masonry Veneer,1982,Commercial,1224900.0,2022-05-11,5779.42
GC-000639,Jennifer Smith,"257 Murray Corner, Cape Verrin, Belmara County",Z3,Y,Masonry Veneer,1977,Homeowners,163300.0,2026-01-20,949.12
GC-000640,Dana Dodson,"4220 Gregory Crossing, Hollow Bay, Belmara County",Z5,N,Masonry Veneer,1986,Homeowners,213800.0,2025-09-29,775.84
GC-000641,Jeanne Jones,"427 Thompson Station, Millbrook, Belmara County",Z6,N,Masonry,1992,Homeowners,286200.0,2025-04-05,918.77
GC-000642,Michael Robinson,"816 Wallace Rapid, Marsh Point, Belmara County",Z2,Y,Masonry,1960,Commercial,2093700.0,2025-01-25,14965.99
GC-000643,Raymond Wang,"3310 Johnson Bridge, Port Alden, Belmara County",Z1,Y,Frame,1992,Commercial,631500.0,2023-10-01,4873.61
GC-000644,Corey Caldwell,"22068 Lisa Islands, Ridgeview, Belmara County",Z4,N,Masonry,2011,Commercial,565300.0,2021-02-13,2201.84
GC-000645,Chelsey Clark,"1331 Morris Bridge Suite 506, Hollow Bay, Belmara County",Z5,N,Masonry,1979,Homeowners,209400.0,2023-03-11,705.33
GC-000646,Daniel Barrett,"950 Nicole Loop Suite 971, Hollow Bay, Belmara County",Z5,N,Masonry,1973,Homeowners,320000.0,2026-02-03,1101.21
GC-000647,Raven Nielsen,"1956 Martin Roads, Cape Verrin, Belmara County",Z3,Y,Frame,1989,Homeowners,149200.0,2023-02-10,908.91
GC-000648,Melissa Spence,"50997 Dixon Streets Apt. 890, Marsh Point, Belmara County",Z2,Y,Masonry,1994,Commercial,933300.0,2022-01-06,5905.02
GC-000649,Luis Mosley,"63910 Nicholas Hill Apt. 263, Marsh Point, Belmara County",Z2,Y,Frame,1978,Homeowners,252600.0,2023-06-01,1602.2
GC-000650,Cynthia Swanson,"524 Schneider Trace Apt. 864, Ridgeview, Belmara County",Z4,N,Frame,2011,Homeowners,355900.0,2022-03-29,1309.71
GC-000651,Crystal Quinn,"38033 Boyd Falls Suite 017, Port Alden, Belmara County",Z1,Y,Superior (Reinforced Concrete),1980,Homeowners,252300.0,2021-01-06,1105.24
GC-000652,Corey Walters,"21298 Joel Common, Marsh Point, Belmara County",Z2,Y,Masonry Veneer,2024,Homeowners,92100.0,2024-05-20,479.66
GC-000653,John Martin,"62934 Ray Roads, Port Alden, Belmara County",Z1,Y,Masonry Veneer,2010,Homeowners,310200.0,2024-01-25,1615.52
GC-000654,Scott Olson,"6277 Wagner Street Suite 270, Millbrook, Belmara County",Z6,N,Frame,1987,Homeowners,482800.0,2022-03-30,1911.73
GC-000655,Jessica Miller,"828 Jonathan Mountain Suite 746, Cape Verrin, Belmara County",Z3,Y,Frame,2014,Homeowners,152300.0,2023-09-29,868.72
GC-000656,Karen Cook,"23008 Henry Mall Suite 567, Port Alden, Belmara County",Z1,Y,Masonry,2011,Homeowners,445500.0,2024-06-10,2099.2
GC-000657,William Jones,"69236 Wise Terrace, Port Alden, Belmara County",Z1,Y,Frame,1984,Homeowners,420300.0,2025-10-17,2608.36
GC-000658,Katrina Burns,"066 John Bypass Suite 024, Marsh Point, Belmara County",Z2,Y,Frame,1982,Homeowners,169700.0,2022-12-19,1060.89
GC-000659,Terry Hernandez,"920 Kelli Row, Ridgeview, Belmara County",Z4,N,Masonry,2016,Homeowners,222400.0,2024-10-10,676.1
GC-000660,Janice Mccarthy,"362 King Hollow, Ridgeview, Belmara County",Z4,N,Frame,1994,Commercial,802600.0,2023-04-24,3965.9
GC-000661,Kim Tanner,"611 Olsen Grove Apt. 640, Port Alden, Belmara County",Z1,Y,Superior (Reinforced Concrete),1981,Homeowners,157400.0,2022-04-28,687.02
GC-000662,Dr. April Jones,"646 Gregory Ferry Apt. 372, Port Alden, Belmara County",Z1,Y,Masonry,1986,Homeowners,277700.0,2024-09-18,1413.2
GC-000663,Ashley Bradley,"30234 Alexander Road, Cape Verrin, Belmara County",Z3,Y,Frame,1989,Homeowners,208900.0,2021-03-13,1272.59
GC-000664,Mark Miller,"1415 Brenda Neck, Millbrook, Belmara County",Z6,N,Frame,1990,Homeowners,290500.0,2025-11-25,1137.46
GC-000665,Dr. Adam Adams,"901 Alexa Avenue, Port Alden, Belmara County",Z1,Y,Frame,1967,Homeowners,196700.0,2021-03-31,1297.01
GC-000666,Joseph Hayden,"7596 Wood Junctions Suite 356, Port Alden, Belmara County",Z1,Y,Masonry,2003,Homeowners,241600.0,2022-02-04,1152.08
GC-000667,Anthony Kelly,"07620 Misty Harbors Apt. 579, Marsh Point, Belmara County",Z2,Y,Masonry,1994,Homeowners,350900.0,2026-04-19,1732.81
GC-000668,Sheila Robertson,"50505 Hall Oval, Marsh Point, Belmara County",Z2,Y,Masonry,1992,Homeowners,171400.0,2021-01-27,852.86
GC-000669,Lonnie Miller,"1649 Jennifer Ways Apt. 271, Millbrook, Belmara County",Z6,N,Masonry,1987,Homeowners,481800.0,2021-08-12,1575.99
GC-000670,Michael Dunn,"71783 Jason Terrace Apt. 160, Ridgeview, Belmara County",Z4,N,Frame,1998,Homeowners,236900.0,2022-10-15,899.69
GC-000671,Timothy Orr,"47128 Davis Square Suite 399, Marsh Point, Belmara County",Z2,Y,Superior (Reinforced Concrete),1964,Homeowners,168000.0,2023-04-21,778.62
GC-000672,Greg Kent,"863 Jonathon Highway Apt. 115, Marsh Point, Belmara County",Z2,Y,Frame,2001,Commercial,547100.0,2023-10-30,4078.31
GC-000673,Teresa Garner,"525 Ray Alley, Cape Verrin, Belmara County",Z3,Y,Frame,1990,Homeowners,241100.0,2021-10-05,1463.25
GC-000674,Kevin Lee,"5528 Daniel Branch Suite 524, Ridgeview, Belmara County",Z4,N,Frame,2013,Commercial,3261700.0,2024-09-24,15378.92
GC-000675,Kathryn Bryant,"09548 Joshua Vista Suite 374, Millbrook, Belmara County",Z6,N,Masonry Veneer,1974,Homeowners,118500.0,2025-12-14,449.12
GC-000676,Jamie Zavala,"33027 Evans Via Apt. 086, Cape Verrin, Belmara County",Z3,Y,Masonry,1986,Homeowners,240200.0,2023-06-26,1222.37
GC-000677,Michael Mooney,"1844 Jacqueline Plaza Suite 125, Cape Verrin, Belmara County",Z3,Y,Masonry Veneer,1999,Homeowners,208100.0,2025-12-21,1114.13
GC-000678,Lauren Trujillo,"2927 Carter Drive Apt. 330, Cape Verrin, Belmara County",Z3,Y,Frame,1978,Commercial,924600.0,2024-05-03,7514.02
GC-000679,Scott Garcia,"6201 Mccann Fall, Marsh Point, Belmara County",Z2,Y,Masonry,2018,Homeowners,534900.0,2024-09-01,2520.45
GC-000680,Autumn Robertson,"626 Austin Garden Suite 749, Port Alden, Belmara County",Z1,Y,Frame,2000,Homeowners,275600.0,2023-10-13,1609.75
GC-000681,Marissa Bennett,"6475 David Corner, Hollow Bay, Belmara County",Z5,N,Frame,2016,Homeowners,323400.0,2025-04-26,1190.11
GC-000682,Martin Kerr,"99974 Laura Falls, Millbrook, Belmara County",Z6,N,Frame,1976,Homeowners,574500.0,2026-02-25,2367.86
GC-000683,Zachary Park,"215 Jennifer Wall Apt. 606, Port Alden, Belmara County",Z1,Y,Frame,1968,Homeowners,629600.0,2024-12-02,4137.11
GC-000684,Kimberly Burnett,"89813 Henry Rapid Apt. 087, Cape Verrin, Belmara County",Z3,Y,Masonry,1980,Homeowners,478400.0,2022-09-05,2488.66
GC-000685,Barbara Anderson,"218 York Bypass, Cape Verrin, Belmara County",Z3,Y,Masonry,1974,Homeowners,282200.0,2025-08-09,1499.93
GC-000686,Caleb Evans,"0340 Hopkins Mills, Port Alden, Belmara County",Z1,Y,Masonry Veneer,2003,Commercial,1658000.0,2022-03-16,11196.18
GC-000687,John Edwards,"883 Elaine Cape Apt. 032, Hollow Bay, Belmara County",Z5,N,Masonry,2005,Homeowners,300200.0,2022-04-25,916.26
GC-000688,Ronnie Bernard,"542 Jones Glens, Hollow Bay, Belmara County",Z5,N,Frame,1996,Homeowners,354400.0,2025-11-02,1356.36
GC-000689,Matthew Martin,"46283 Crystal Grove Apt. 598, Port Alden, Belmara County",Z1,Y,Masonry,2008,Homeowners,167200.0,2025-10-01,787.85
GC-000690,Jennifer Hernandez,"0931 Martinez Creek Suite 151, Port Alden, Belmara County",Z1,Y,Masonry Veneer,1986,Homeowners,394200.0,2025-12-02,2217.23
GC-000691,Gavin Nelson,"0163 Lynn Tunnel, Port Alden, Belmara County",Z1,Y,Frame,2003,Homeowners,381900.0,2023-05-15,2204.5
GC-000692,Casey Chandler,"718 Graves Way Suite 849, Port Alden, Belmara County",Z1,Y,Frame,1967,Homeowners,304000.0,2023-03-11,2004.52
GC-000693,Anthony Stewart,"58896 Vargas Green Apt. 822, Hollow Bay, Belmara County",Z5,N,Superior (Reinforced Concrete),2009,Homeowners,901400.0,2024-12-03,2307.58
GC-000694,Keith Adams,"396 White Knoll Suite 844, Marsh Point, Belmara County",Z2,Y,Masonry,1980,Homeowners,102600.0,2022-08-31,533.73
GC-000695,Kelly Higgins,"1465 Cynthia Club, Port Alden, Belmara County",Z1,Y,Superior (Reinforced Concrete),2013,Commercial,250000.0,2022-09-03,1271.0
GC-000696,Theresa Martin,"48706 Timothy Passage, Millbrook, Belmara County",Z6,N,Masonry,1996,Homeowners,122000.0,2022-12-07,385.72
GC-000697,Megan Patel,"0930 Park Summit, Ridgeview, Belmara County",Z4,N,Masonry,1988,Homeowners,238600.0,2025-08-26,777.57
GC-000698,Zachary Guerrero,"728 Gregory Lakes, Ridgeview, Belmara County",Z4,N,Frame,1976,Homeowners,343800.0,2021-08-31,1417.01
GC-000699,Kayla Farley,"6251 Sloan Gateway Apt. 447, Cape Verrin, Belmara County",Z3,Y,Masonry,1966,Homeowners,340700.0,2024-01-15,1862.24
GC-000700,Daniel Rojas,"48079 Brown Avenue Suite 545, Marsh Point, Belmara County",Z2,Y,Masonry,1976,Homeowners,379200.0,2024-05-08,2001.21
GC-000701,Gregory Bowen,"0167 Christopher Passage Apt. 617, Millbrook, Belmara County",Z6,N,Frame,2024,Homeowners,215400.0,2023-11-10,792.67
GC-000702,Randy Wright,"5456 Amanda Grove Apt. 772, Ridgeview, Belmara County",Z4,N,Masonry Veneer,1999,Homeowners,339500.0,2025-12-08,1172.66
GC-000703,Paul Smith,"34026 Manning Bypass, Ridgeview, Belmara County",Z4,N,Masonry Veneer,1999,Homeowners,220200.0,2023-07-31,760.59
GC-000704,Cristian Mendoza,"67872 Potter Tunnel Suite 862, Cape Verrin, Belmara County",Z3,Y,Masonry,1968,Commercial,1180400.0,2021-09-20,8209.58
GC-000705,Brian Smith,"8030 Jordan Ranch, Ridgeview, Belmara County",Z4,N,Masonry,2008,Homeowners,191700.0,2026-05-17,582.77
GC-000706,Jessica Roberts,"63928 John Trafficway Apt. 436, Millbrook, Belmara County",Z6,N,Masonry,2004,Commercial,1209000.0,2022-01-16,4746.73
GC-000707,Michael Patrick,"92312 Johnson Fields, Ridgeview, Belmara County",Z4,N,Frame,1985,Homeowners,559000.0,2022-01-01,2229.92
GC-000708,Jessica Jensen,"66843 Matthew Neck, Marsh Point, Belmara County",Z2,Y,Frame,2013,Homeowners,313300.0,2023-01-17,1787.06
GC-000709,Jeffery Williams,"5456 Luis Causeway, Millbrook, Belmara County",Z6,N,Frame,1997,Homeowners,229200.0,2021-11-30,873.82
GC-000710,Aaron Guerrero,"47491 Lopez Overpass Suite 541, Port Alden, Belmara County",Z1,Y,Masonry,1993,Homeowners,278500.0,2022-05-22,1380.53
GC-000711,Adam Arnold,"5598 Allen Harbor, Ridgeview, Belmara County",Z4,N,Frame,1992,Homeowners,304000.0,2025-02-22,1181.37
GC-000712,James Eaton,"910 James Mission, Ridgeview, Belmara County",Z4,N,Frame,1992,Homeowners,229400.0,2025-02-28,891.47
GC-000713,Angela Payne,"7382 David Manor Suite 855, Cape Verrin, Belmara County",Z3,Y,Frame,1972,Homeowners,242300.0,2023-07-19,1570.04
GC-000714,Mitchell Bartlett,"6880 Carol Square, Port Alden, Belmara County",Z1,Y,Masonry,1970,Homeowners,376800.0,2024-04-16,2031.15
GC-000715,Donna Sosa,"367 Gabriel Terrace, Millbrook, Belmara County",Z6,N,Masonry,2016,Homeowners,222600.0,2025-07-17,676.7
GC-000716,Kristina Myers,"20293 Natasha Turnpike Suite 884, Ridgeview, Belmara County",Z4,N,Masonry,1995,Commercial,914700.0,2024-10-10,3719.52
GC-000717,Daniel Erickson,"30834 Danielle Harbors, Port Alden, Belmara County",Z1,Y,Frame,1974,Commercial,1206900.0,2026-05-22,9949.33
GC-000718,Debra Gibbs,"81059 Nguyen Squares, Cape Verrin, Belmara County",Z3,Y,Masonry Veneer,1987,Homeowners,199000.0,2021-08-10,1115.16
GC-000719,Deborah Anderson,"0053 Thompson Brook Apt. 649, Marsh Point, Belmara County",Z2,Y,Frame,1998,Homeowners,184000.0,2026-02-25,1083.12
GC-000720,Ruth Walker,"96273 Richardson Neck Apt. 727, Millbrook, Belmara County",Z6,N,Frame,2006,Homeowners,97400.0,2024-10-12,358.43
GC-000721,Scott Lopez,"240 Martin Fall Suite 931, Port Alden, Belmara County",Z1,Y,Masonry Veneer,1995,Homeowners,229700.0,2024-12-17,1248.91
GC-000722,Jeffery Gibson,"82091 Cruz Creek Apt. 023, Millbrook, Belmara County",Z6,N,Frame,1991,Homeowners,402200.0,2021-09-28,1568.9
GC-000723,Debra Mays,"18513 Timothy Port, Ridgeview, Belmara County",Z4,N,Frame,1997,Homeowners,159600.0,2024-04-24,608.47
